zaman_unix,icao24,enlem,boylam,hiz,yon,dikey_hiz,geo_irtifa_m,baro_irtifa_m,zaman,ucus_numarasi,kalkis_havaalani,varis_havaalani,basinc_hpa,ti1_indeksi,edr_proxy
1547567946,a0044e,31.496219958289192,-100.52265014648435,124.38166561597072,292.10944834375164,0.0,6934.200000000001,6705.6,2019-01-15 15:59:06+00:00,N10VZ,KIWS,7TX7,300.0,6.423316180565548e-07,0.7458328448766667
1547567947,a0044e,31.496219958289192,-100.52265014648435,124.38166561597072,292.10944834375164,0.0,6934.200000000001,6705.6,2019-01-15 15:59:07+00:00,N10VZ,KIWS,7TX7,300.0,6.423316180565548e-07,0.7458328448766667
1547567948,a0044e,31.496219958289192,-100.52265014648435,124.38166561597072,292.10944834375164,0.0,6934.200000000001,6705.6,2019-01-15 15:59:08+00:00,N10VZ,KIWS,7TX7,300.0,6.423316180565548e-07,0.7458328448766667
1547567949,a0044e,31.496219958289192,-100.52265014648435,124.38166561597072,292.10944834375164,0.0,6934.200000000001,6705.6,2019-01-15 15:59:09+00:00,N10VZ,KIWS,7TX7,300.0,6.423316180565548e-07,0.7458328448766667
1547567950,a0044e,31.496219958289192,-100.52265014648435,124.38166561597072,292.10944834375164,0.0,6934.200000000001,6705.6,2019-01-15 15:59:10+00:00,N10VZ,KIWS,7TX7,300.0,6.423316180565548e-07,0.7458328448766667
1547567951,a0044e,31.496219958289192,-100.52265014648435,124.38166561597072,292.10944834375164,0.0,6934.200000000001,6705.6,2019-01-15 15:59:11+00:00,N10VZ,KIWS,7TX7,300.0,6.423316180565548e-07,0.7458328448766667
1547567952,a0044e,31.496219958289192,-100.52265014648435,124.38166561597072,292.10944834375164,0.0,6934.200000000001,6705.6,2019-01-15 15:59:12+00:00,N10VZ,KIWS,7TX7,300.0,6.423316180565548e-07,0.7458328448766667
1547567953,a0044e,31.496219958289192,-100.52265014648435,124.38166561597072,292.10944834375164,0.0,6934.200000000001,6705.6,2019-01-15 15:59:13+00:00,N10VZ,KIWS,7TX7,300.0,6.423316180565548e-07,0.7458328448766667
1547567954,a0044e,31.496219958289192,-100.52265014648435,124.38166561597072,292.10944834375164,0.0,6934.200000000001,6705.6,2019-01-15 15:59:14+00:00,N10VZ,KIWS,7TX7,300.0,6.423316180565548e-07,0.7458328448766667
1547567955,a0044e,31.51442188327595,-100.57467041015622,124.38166561597072,292.10944834375164,0.0,6934.200000000001,6705.6,2019-01-15 15:59:15+00:00,N10VZ,KIWS,7TX7,300.0,6.423316180565548e-07,0.7458328448766667
1547567956,a0044e,31.517074584960938,-100.58231129365811,124.38166561597072,292.10944834375164,0.0,6934.200000000001,6705.6,2019-01-15 15:59:16+00:00,N10VZ,KIWS,7TX7,300.0,6.423316180565548e-07,0.7458328448766667
1547567957,a0044e,31.521743774414062,-100.59561336741729,124.38166561597072,292.10944834375164,0.0,6934.200000000001,6705.6,2019-01-15 15:59:17+00:00,N10VZ,KIWS,7TX7,300.0,6.423316180565548e-07,0.7458328448766667
1547567958,a0044e,31.522018432617188,-100.5963134765625,124.38166561597072,292.10944834375164,0.0,6934.200000000001,6705.6,2019-01-15 15:59:18+00:00,N10VZ,KIWS,7TX7,300.0,6.423316180565548e-07,0.7458328448766667
1547567959,a0044e,31.530063435182733,-100.61932983398435,124.38166561597072,292.10944834375164,0.0,6934.200000000001,6705.6,2019-01-15 15:59:19+00:00,N10VZ,KIWS,7TX7,300.0,6.423316180565548e-07,0.7458328448766667
1547567960,a0044e,31.530063435182733,-100.61932983398435,124.38166561597072,292.10944834375164,0.0,6934.200000000001,6705.6,2019-01-15 15:59:20+00:00,N10VZ,KIWS,7TX7,300.0,6.423316180565548e-07,0.7458328448766667
1547567961,a0044e,31.530063435182733,-100.61932983398435,124.38166561597072,292.10944834375164,0.0,6934.200000000001,6705.6,2019-01-15 15:59:21+00:00,N10VZ,KIWS,7TX7,300.0,6.423316180565548e-07,0.7458328448766667
1547567962,a0044e,31.530063435182733,-100.61932983398435,124.38166561597072,292.10944834375164,0.0,6934.200000000001,6705.6,2019-01-15 15:59:22+00:00,N10VZ,KIWS,7TX7,300.0,6.423316180565548e-07,0.7458328448766667
1547567963,a0044e,31.530063435182733,-100.61932983398435,124.38166561597072,292.10944834375164,0.0,6934.200000000001,6705.6,2019-01-15 15:59:23+00:00,N10VZ,KIWS,7TX7,300.0,6.423316180565548e-07,0.7458328448766667
1547567964,a0044e,31.530063435182733,-100.61932983398435,124.38166561597072,292.10944834375164,0.0,6934.200000000001,6705.6,2019-01-15 15:59:24+00:00,N10VZ,KIWS,7TX7,300.0,6.423316180565548e-07,0.7458328448766667
1547567965,a0044e,31.530063435182733,-100.61932983398435,124.38166561597072,292.10944834375164,0.0,6934.200000000001,6705.6,2019-01-15 15:59:25+00:00,N10VZ,KIWS,7TX7,300.0,6.423316180565548e-07,0.7458328448766667
1547567966,a0044e,31.530063435182733,-100.61932983398435,124.38166561597072,292.10944834375164,0.0,6934.200000000001,6705.6,2019-01-15 15:59:26+00:00,N10VZ,KIWS,7TX7,300.0,6.423316180565548e-07,0.7458328448766667
1547567967,a0044e,31.530063435182733,-100.61932983398435,124.38166561597072,292.10944834375164,0.0,6934.200000000001,6705.6,2019-01-15 15:59:27+00:00,N10VZ,KIWS,7TX7,300.0,6.423316180565548e-07,0.7458328448766667
