zaman_unix,icao24,enlem,boylam,hiz,yon,dikey_hiz,geo_irtifa_m,baro_irtifa_m,zaman,ucus_numarasi,kalkis_havaalani,varis_havaalani,basinc_hpa,ti1_indeksi,edr_proxy
1547581920,4ba9a9,40.66822814941406,30.13653564453125,205.4905973254381,126.03791926746439,8.77824,7124.7,7429.5,2019-01-15 19:52:00+00:00,THY322,LTBA,,300.0,4.216922370466127e-07,0.5597975945235233
1547581921,4ba9a9,40.66429138183594,30.1436767578125,205.4905973254381,126.03791926746439,8.77824,7132.320000000001,7437.120000000001,2019-01-15 19:52:01+00:00,THY322,LTBA,,300.0,4.216922370466127e-07,0.5597975945235233
1547581922,4ba9a9,40.66383361816406,30.14447021484375,202.3152003058665,125.79172185365107,16.581120000000002,6385.5599999999995,6682.740000000001,2019-01-15 19:52:02+00:00,THY322,LTBA,,300.0,4.216922370466127e-07,0.5597975945235233
1547581923,4ba9a9,40.66383361816406,30.14447021484375,205.18836103955937,125.92175916460666,8.77824,7147.56,7459.9800000000005,2019-01-15 19:52:03+00:00,THY322,LTBA,,300.0,4.216922370466127e-07,0.5597975945235233
1547581924,4ba9a9,40.66383361816406,30.14447021484375,201.59707585495838,125.75863342569106,16.256,7178.040000000001,6736.08,2019-01-15 19:52:04+00:00,THY322,LTBA,,300.0,4.216922370466127e-07,0.5597975945235233
1547581925,4ba9a9,40.66383361816406,30.14447021484375,205.18836103955937,125.92175916460666,8.45312,7170.42,7475.22,2019-01-15 19:52:05+00:00,THY322,LTBA,,300.0,4.216922370466127e-07,0.5597975945235233
1547581926,4ba9a9,40.66383361816406,30.14447021484375,199.74344157635952,125.77783833552348,11.05408,6545.58,6835.14,2019-01-15 19:52:06+00:00,THY322,LTBA,,300.0,4.216922370466127e-07,0.5597975945235233
1547581927,4ba9a9,40.66383361816406,30.14447021484375,205.18836103955937,125.92175916460666,8.45312,7193.28,7490.46,2019-01-15 19:52:07+00:00,THY322,LTBA,,300.0,4.216922370466127e-07,0.5597975945235233
1547581928,4ba9a9,40.66383361816406,30.14447021484375,204.77197698979185,126.00620760124444,8.45312,7185.66,7498.08,2019-01-15 19:52:08+00:00,THY322,LTBA,,300.0,4.216922370466127e-07,0.5597975945235233
1547581929,4ba9a9,40.66383361816406,30.14447021484375,199.74344157635952,125.77783833552348,8.77824,7223.76,6873.240000000001,2019-01-15 19:52:09+00:00,THY322,LTBA,,300.0,4.216922370466127e-07,0.5597975945235233
1547581930,4ba9a9,40.66383361816406,30.14447021484375,204.77197698979185,126.00620760124444,8.45312,7208.52,7513.320000000001,2019-01-15 19:52:10+00:00,THY322,LTBA,,300.0,4.216922370466127e-07,0.5597975945235233
1547581931,4ba9a9,40.66383361816406,30.14447021484375,204.77197698979185,126.00620760124444,8.45312,7223.76,7528.56,2019-01-15 19:52:11+00:00,THY322,LTBA,,300.0,4.216922370466127e-07,0.5597975945235233
1547581932,4ba9a9,40.66383361816406,30.14447021484375,204.77197698979185,126.00620760124444,8.45312,7231.38,7536.18,2019-01-15 19:52:12+00:00,THY322,LTBA,,300.0,4.216922370466127e-07,0.5597975945235233
1547581933,4ba9a9,40.66383361816406,30.14447021484375,204.77197698979185,126.00620760124444,8.45312,7239.0,7543.8,2019-01-15 19:52:13+00:00,THY322,LTBA,,300.0,4.216922370466127e-07,0.5597975945235233
1547581934,4ba9a9,40.66383361816406,30.14447021484375,204.77197698979185,126.00620760124444,8.45312,7246.62,7551.42,2019-01-15 19:52:14+00:00,THY322,LTBA,,300.0,4.216922370466127e-07,0.5597975945235233
1547581935,4ba9a9,40.66383361816406,30.14447021484375,204.77197698979185,126.00620760124444,8.45312,6637.02,7559.04,2019-01-15 19:52:15+00:00,THY322,LTBA,,300.0,4.216922370466127e-07,0.5597975945235233
